5#a79d93,#a7704b,#3d3331,#747471,#c5bfb7
#b38d74,#3d3035,#854c3e,#d3c5ae,#797d78
#707570,#a9aba1,#74473b,#423536,#a37d67
#bc987d,#a16953,#7d846e,#dac3a8,#6e4c46
#9a897b,#725851,#cabaa6,#a96f51,#3f3030
#7a8882,#8a5645,#413739,#b9b1a3,#b68f5e
#c9bfab,#251c1b,#87998e,#78453d,#b77e63
#e1d2bc,#44312d,#b28f72,#7f967c,#8c513a
#a29085,#6c5754,#718980,#312528,#d4ccc3
#6c867e,#c8bdb7,#9e7a69,#5d3e39,#5e5c72
#cabeae,#5b7e7e,#7c382b,#98816f,#554a4b
#aa9680,#5a8a7d,#d2cbc0,#986347,#63493f
#c5a281,#916554,#ddcfc0,#4b3335,#7d9686
#ab8e75,#d6cfbc,#7f554a,#799483,#443736
#cfa882,#6a493c,#d2c6b2,#302224,#917c65
#b28868,#61876d,#443433,#c5c4a8,#864337
#ad907a,#352b2d,#d8cbb3,#725149,#6c917f
#b68969,#729179,#8d4137,#493b38,#b7b396
#b79478,#856354,#829385,#d6c0a7,#483836
#8e7f6d,#36292e,#cda97f,#c7c5b6,#6f4942
#c79974,#422e31,#6c8c7c,#dbcbb3,#906452
#cf9f71,#3b2328,#798870,#8f5442,#d5c1b4
#b28d6f,#7d5549,#d2cbc5,#6b8373,#412a2e
#c09a78,#3a282c,#d3c4be,#6f8d82,#866757
#a3806c,#d1bfac,#544441,#88978a,#7d493d
#bc9d82,#57403f,#d2c5b9,#788f7c,#956556
#698373,#7a463b,#bdb3a7,#a47c62,#402f2d
#9e7a63,#784c3e,#647e64,#c2a48b,#482f2c
#a67f68,#6e4f46,#d6bda3,#809183,#3a3231
#81443b,#d6c7be,#697867,#ae8467,#452c2f
